James HardenHOU
Giannis AntetokounmpoMIL
Luka DoncicDAL
Trae YoungATL
Bradley BealWSH
Anthony DavisLAL
Damian LillardPOR
Karl-Anthony TownsMIN
LeBron JamesLAL
Kawhi LeonardLAC
Brandon IngramNO
Donovan MitchellUTAH
Andrew WigginsMIN
Pascal SiakamTOR
Devin BookerPHX
Russell WestbrookHOU
Zach LaVineCHI
Joel EmbiidPHI
Spencer DinwiddieBKN
Kemba WalkerBOS
CJ McCollumPOR
Bojan BogdanovicUTAH
Jayson TatumBOS
DeMar DeRozanSA
Buddy HieldSAC
Jimmy ButlerMIA
Jaylen BrownBOS
Jrue HolidayNO
Evan FournierORL
Lou WilliamsLAC
Tobias HarrisPHI
Devonte' GrahamCHA
Montrezl HarrellLAC
Malcolm BrogdonIND
Shai Gilgeous-AlexanderOKC
LaMarcus AldridgeSA
Marcus Morris Sr.NY
Khris MiddletonMIL
Ja MorantMEM
Danilo GallinariOKC
Fred VanVleetTOR
Domantas SabonisIND
Jamal MurrayDEN
Kelly Oubre Jr.PHX
T.J. WarrenIND
Dennis SchroderOKC
Andre DrummondDET
Kristaps PorzingisDAL
Collin SextonCLE
Jaren Jackson Jr.MEM
Terry RozierCHA
Julius RandleNY
Nikola JokicDEN
Derrick RoseDET
Kendrick NunnMIA
Chris PaulOKC
Kevin LoveCLE
Harrison BarnesSAC
JJ RedickNO
Luke KennardDET
Hassan WhitesidePOR
Jabari ParkerATL
Bam AdebayoMIA
Alec BurksGS
Eric PaschallGS
Davis BertansWSH
Eric BledsoeMIL
Josh RichardsonPHI
Rudy GobertUTAH
Lauri MarkkanenCHI
Joe HarrisBKN
Will BartonDEN
Jordan ClarksonCLE
Bogdan BogdanovicSAC
Dillon BrooksMEM
Norman PowellTOR
Ben SimmonsPHI
Jeff TeagueMIN
Jonas ValanciunasMEM
Clint CapelaHOU
Rui HachimuraWSH
RJ BarrettNY
Tyler HerroMIA
Isaiah ThomasWSH
Ricky RubioPHX
Mike ConleyUTAH
Tim Hardaway Jr.DAL
Al HorfordPHI
Tristan ThompsonCLE
Aaron GordonORL
Brandon ClarkeMEM
De'Andre HunterATL
Paul MillsapDEN
Terrence RossORL
Taurean PrinceBKN
Richaun HolmesSAC
Jonathan IsaacORL
Jarrett AllenBKN
PJ WashingtonCHA
Miles BridgesCHA
